date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:30:20	36659/36659	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:47%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_202.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_202.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:20	37657/37657	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:47%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_201.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_201.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:20	44152/44152	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:47%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_200.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_200.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:20	37263/37263	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:47%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_172.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_172.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:21	36105/36105	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:47%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_171.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_171.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:21	38178/38178	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:47%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_170.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_170.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:21	36083/36083	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:47%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_163.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_163.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:22	36962/36962	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:47%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_162.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_162.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:22	36083/36083	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:47%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_161.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_161.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:22	39492/39492	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:47%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_160.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_160.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:24	37839/37839	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:46%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_154.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_154.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
